filename,form_action_url,hidden_inputs,site_key,ai_summary
captcha_Yandex_курс_доллара.html,/checkcaptcha?key=831c8558-2f4ac845-da40f11e-6c22b228_2/1755901875/0c6d744ef45b52003fe0f42c3aad88a3_bd0b361ce7923a7dcc9dfd97244c3058&mt=6A8B235E410A634B10C2D7E14E5A57D79E30D27F6857226AB6988523CE682E8D0CCD009852252AA4B396F484FE2AB616644981B77EBAE81D8022711565C0F8BF251A0B96AEF2874E4C578258B86E846884D494981D6F6467BA74A6EDC47AA179A26F25365F2CA6CDF84B7711DD54D3AEDC3F41336721F0A1C9C775EBA841E0A3180CFC2A99DB00C9E75C84AA234E207F26FEC54096B04741BE9876F02B7EE5EAED3CECB81D45656E53EEDE4B522087196DFAD5BFD1819B8FA8C87567FADD4EB883A2AC2AB34818074E2066B200C7F61E71ACE9EBEC525FE40758915EABBB9801ECCB8FAA319BCF12BFE511EF59D32C8D5C0BB4A0&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJUJBJUQxJTgzJUQxJTgwJUQxJTgxKyVEMCVCNCVEMCVCRSVEMCVCQiVEMCVCQiVEMCVCMCVEMSU4MCVEMCVCMA%2C%2C_87af9908d1a00a9646ba19514891e83b&u=7156115710501089771&s=5220e4c6e45fc87ac22ce409b1f60a1f,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{}
captcha_Yandex_как_решить_капчу?.html,/checkcaptcha?key=c36d0fe7-35266a1f-fc2fd25d-eaddb07c_2/1755857738/79ff87c6b568a2776cf45d02c72b46e9_fe1eb0f1a91746b4b53c0e65c90d0aae&mt=7CC08DDA2A36BA3DDBB8636B4F89E1C9A6659856E76ECC297827BABD3A026CD1BAAEA62F8CD848E51CD2FF9AEFF14BCA4BF6B88C5CE6158CE5B8D68B78A057D9FCE7B3E0A40CA89DC514D14F47DD72F9C02BB143DDB6BB176DB029563DB55FF80789CA25BC5A31023FC345D262D3E2F8D00C19EC91971A9214F814CDA30F5804D3BFA0097BF2336B59BB43DDBD7BBEBCF232E1AC47BDDB39784491A98FAA63323C46FCE7E926B7B8E4E6B50FCB17B386ABCFC3ED50B8EFEF9AD40E9A07189D995DEFC82A546F39E548FDD9875590C9AF50B094F64DCF77E82BA4C3A4FB05EF7A566DF250CDD41D88FA128204D026F522AC097396B91D9B&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoL3RvdWNoP3RleHQ9JUQwJUJBJUQwJUIwJUQwJUJBJTIwJUQxJTgwJUQwJUI1JUQxJTg4JUQwJUI4JUQxJTgyJUQxJThDJTIwJUQwJUJBJUQwJUIwJUQwJUJGJUQxJTg3JUQxJTgzJTNGJmxyPTEwMzkzJnJlZGlyY250PTE3NTU4NTc3MzguMQ%2C%2C_70937d897c946cf76998690b354ebd2c&u=7153153715833305249&s=fab828f09a53ed7cd81d6c9a445e846e,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{ summary: Click the checkbox to confirm you are not a robot. }
captcha_Yandex_грибы_в_крыму.html,/checkcaptcha?key=64511ad1-a4e558af-e86902da-26e64615_2/1755866162/881daad7e618f8d98dbef121ed78f0a8_7e84f139b82ac145e385eddf516562ad&mt=2891A22C84BCF2AB8169FDEBE4C97714EB5745FEBD609CD76306FF0019F005F402BE7637C0F0DEEDD3B599C09CB555C09A28A1AB3B69CD77A7F24684057936052E2757B8B4AE31FB024A813FB20FEFCF2C60847755D92B6C0AB81F9235FE396653358E966C3606F642583AFAEF9FEF8D0F0A4C90F491A857E8B31C3173C2B2D8CCE4BD477D4CEDC1E5A02816C89B1A5BB876D5AB10C2B8ABC105FB7497865AC3A4E3DFA73C52279E3B952B2E97B31327FCD29D9D14EF0F384968BAF185A2BD820199D730D6A43B54AD64436630F6948DF053B5794250FD982967BC46A519395B74433B60A3BE3C970525F1A61C07505DCC008BA1385B&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoL3RvdWNoP3RleHQ9JUQwJUIzJUQxJTgwJUQwJUI4JUQwJUIxJUQxJThCJTIwJUQwJUIyJTIwJUQwJUJBJUQxJTgwJUQxJThCJUQwJUJDJUQxJTgzJmxyPTEwMzc5JnJlZGlyY250PTE3NTU4NjYxNjIuMQ%2C%2C_b90c4692ccaab69dee097e63467d1e93&u=7153719077681136557&s=eb4abd503d612512fc65ed21f469acaa,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,"{ type: checkbox, hasAdditionalChallenge: true }"
captcha_Yandex_f70a04eb901331e1e6e03e2fe113acf1.html,/checkcaptcha?key=aea87e66-3e4e2ee-a8db77b9-859fc3e9_2/1755912297/2f9d4cde38977482a257a18ded76e8c9_1f8c541dbc3eb8aea504d9834febf060&mt=696999B42FC89C560531D784445E4CD2D1C1CE5DD96162893CFEFDDF67148084C80D18FAA20C26D852831AD25DC5A73BEF07099972DBF1E48FC1BEB306CFA157240F8A0570C6E8F1CDC13413B97550589E8C6C03D2694AB0C9CEBC4B359653C9D0396293471E903A0D5B4BAD2628D50841FCF91457B044359121754784B05E67FD66986B06B2719CFCEF8344A2F83AF8F050BE76335A2ACAAA98186B3C5A5A2FACABEA418BBC7A0637E0DFFAABA8C85070ED5E58143CDC931DF9855B33BE9EEEAA13F3CDD831F7DC98E2D5CB50AD664A36BD49D75A2C23BD733B3FF1CED4865A2F20DFBEC232F71ED6DEEE57CF261F9B03845EC9&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJUJCJUQxJTgzJUQxJTg3JUQxJTg4JUQwJUI4JUQwJUI1KyVEMSU4MCVEMCVCNSVEMSU4NiVEMCVCNSVEMCVCRiVEMSU4MiVEMSU4QislRDAlQjElRDAlQkUlRDElODAlRDElODklRDAlQjA%2C_66a075d2e8690b32de7699e06f062837&u=7156815108413224968&s=df9a5f021d62548714b2b670ae358066,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{Click the checkbox to confirm you're not a robot and then press the button.:1}
captcha_Yandex_расписание_самолетов_геленджик.html,/checkcaptcha?key=19def83e-b19cfdc5-ff445e21-56d6b7ed_2/1755863801/79ffa97706696d05983b0604a8ac273c_3ab6a2eb6f33b18e497645f3ec0ad36e&mt=66F3833BF4E6AC6A434C9D179ED31D0B55D0AAC164A0007A411EA4072D0D024FB775D19DA190B1532520A72CB901FC1E48173858F413ADF92573946F4F692FB9904A3B5E9C12B76007E500547B310DA38A9B593117F2F1DC0F8BFBC02D82433CFC56D86E3B2036A1B0D4D1FBEECD3BA21E13CF1220FDA554C6838C4999C2A26871CA50D8287FDC9B9356A9B8DF718B3A1B2B78FEBDCC5F187C62B73467002793DCF7397EAAB30C5BAA726C02078A3C93471AD96DE75A021CE44750C95A4D6289377CACA846BC24DF5548A4E1C23C195EBB3D1B325AD2E59B36C52990ABF5FDA35711B5257AEFD4182AD4E734CF0821BF7957205F3849D1&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQxJTgwJUQwJUIwJUQxJTgxJUQwJUJGJUQwJUI4JUQxJTgxJUQwJUIwJUQwJUJEJUQwJUI4JUQwJUI1KyVEMSU4MSVEMCVCMCVEMCVCQyVEMCVCRSVEMCVCQiVEMCVCNSVEMSU4MiVEMCVCRSVEMCVCMislRDAlQjMlRDAlQjUlRDAlQkIlRDAlQjUlRDAlQkQlRDAlQjQlRDAlQjYlRDAlQjglRDAlQkE%2C_37d07230db75570a2bbae07dd2ebc457&u=7153560584865084274&s=5858cb33faa2e1d740898c5474259db0,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{Click the checkbox to proceed and complete the CAPTCHA challenge.: } Click the checkbox to proceed and complete the CAPTCHA challenge. }
captcha_Yandex_биткоин_сегодня.html,/checkcaptcha?key=901c4cf5-45a6a3e-639a2114-3b5251d5_2/1755901350/ad0d6f65458f98ad00e6b78bb2fc841e_54e3a0b52df163b9bfc72a19850be6be&mt=9423CE5960D3041F1655A77985769C0A7DE40F59C4AC27C9194869CDF84C82B3F2FF1AAFFF6419EB809AE19262324E2B27EEEB1FB18E76883F9BFFE242AFF4B90710E76EABA618EB67EDF4C08A4ABD256F7B0C806DFE3511B2DFE0FC087AF9CB7DD089B0AE7B61A177AAB43653B241EE8D356FE77B69C295DEA14EDE36398E9EEAFECB5386366F73C08BBF688906E088502AF2A5C913BB58EDF4F9D24EC381A8D0C3A9C5FD46D2AE3FE88E4E6922C28F9489A8B0E8FBF3A62E3EB786A40BEA83693D00B5D9566999AD5A48BF4719D2EA1448C9E8FD502C88DC880594368538A1E293886E11E1D06895EB1CEA9E968202D3417672&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJUIxJUQwJUI4JUQxJTgyJUQwJUJBJUQwJUJFJUQwJUI4JUQwJUJEKyVEMSU4MSVEMCVCNSVEMCVCMyVEMCVCRSVEMCVCNCVEMCVCRCVEMSU4Rg%2C%2C_dd345bfbea88e475f51011b5fcf962a6&u=7156080504385728975&s=8f1dbd38edfcc51dd65b7175bfce4842,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{Click the checkbox to continue.: 1}
captcha_Yandex_f98ecd64d13f497c0a60be3bbfb24977.html,/checkcaptcha?key=419c0486-425ba60e-2b439028-ac9d1a5e_2/1755912800/da2036dcdde031c6238d398505d7a66e_22bd4d47c0a9989f1e8054a3df5b42a5&mt=D72CC66CCE7406B78646030C3C1F42F8702AE6F0FA1345425931593E0F7A81324D6C5BD8A84AB533FB9BFD13C552E0D7A3FAB3FBCA6EC26C0D326EA13AFE9BB4C905F675827A5446F74CE1905FA13EDA13AD3775698150602797F419F30CBD2318E9047FA2DDF15EE56B1393F042C9B15B8F04986A7B7EA206FD150DEBAB92AA3A28637A208A4ED9C1BD24432232B97F8A9D628CA16310EB9D2FE8C786005BF6C251CB1065709F40EC98E23508042994E56AE570BC51113A137ABFF509CD6087526E7CDDCB36B0A384954F7709EB4FBE58B37A12EC56777AF22116C955164CD5F2AEE61F8249E1E2CA7E6434ACB43DDB3DD56475&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJUJEJUQwJUJFJUQwJUIyJUQwJUJFJUQxJTgxJUQxJTgyJUQwJUI4KyVEMSU4MSVEMCVCRiVEMCVCRSVEMSU4MCVEMSU4MiVEMCVCMA%2C%2C_791af7c4cb3d2c377baa1bd539d025eb&u=7156848893161009434&s=1e60c93a2cb2dd7e3a8623aaae4011c9,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,"{ type: captcha, text: Please confirm that you are not a robot by checking the checkbox. }"
captcha_Yandex_ca17d3cf82ec625e033fffe898d7c2a0.html,/checkcaptcha?key=bccecf3c-f171615d-64647510-6cc98e00_2/1755912801/4981f00e01abeb17c76afed6e1aa6602_1925376d18a0ab79988d0ee3ef2010f5&mt=CBAC757A3896F4A439EA02481208CCA5359B83EAC003414DE6E13B4B5CB3C3DC06D7FACF5EA34C69CE41A8FECDD506D5D4763B7D2F95C1CE77E4C4F08E286DF96EB711D7B0A2C81DF1CD792FAACEEB98A9F2AF831F0FC82F573EFFE2003C57C45DC8C4C5EF1506BEA89359859CBF83EBAC56EC0DD8A64553E9E44CD00E023D2B4F1A069B70EEE8405FF17C803FC360B52A2B5289D9EA80125B4A0E1D06DE259AA404E8A7907E5F5CBCE2426361428E7E201AAF5EDA94498B68EEE703DF6F2666187F9B83159E5EED52BB40211650573617F1AB111810E507FADE6AC9185BFDAEB790351DC8FEA55F22B078713550F03218E4EC0C&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJUJBJUQxJTgzJUQwJUJGJUQwJUI4JUQxJTgyJUQxJThDKyVEMCVCMSVEMCVCOCVEMCVCQiVEMCVCNSVEMSU4MislRDAlQkQlRDAlQjArJUQxJTgxJUQwJUIwJUQwJUJDJUQwJUJFJUQwJUJCJUQwJUI1JUQxJTgy_e3af71f6c824c726c96667170951797d&u=7156848934902722930&s=599d8b68400a46329f5dfbbc4750e6ee,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{Click the checkbox to continue.: The user needs to click the checkbox to confirm they are not a robot and proceed with the form submission.}
captcha_Yandex_Купить_елки_Казань.html,/checkcaptcha?key=e488cb97-777969db-4b90c8be-1cf19888_2/1755611985/11d27c9e23ff4e6219231a6490f32825_ea17d299718954d03ace0256c163ad7b&mt=F11F1ADF90E8936FCB40C783B669D2756A410CB05D2FD56111E3AD1CE09BC0BE3738192ADE0D057084AD0A61E67465418BD23EEEFDA89C1467378F0471222BABB2AFEE06BFEFE88CC7ADCF729F2C74EF3CB0CA5D1D77567313A3178027C0463D289EA3479AEB7F68BBB529C90C728083622EE0C11013698C88E3926494D470113E0488CCB8EFD7B6DF144CD506599E2DF1EE89EF8292976F1985D15A873BA8741DCBE0C78711D62FB641025DBEB5E306E0FC4E7AACC888FF3C7EA3BABB31378B6ED4A002BC09449F6EEC89C41A42E6F51ACF1D7C056618A8FBB0D233FA8E03B07ABC87C587B4C2167189683454344E21718EB2&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJTlBJUQxJTgzJUQwJUJGJUQwJUI4JUQxJTgyJUQxJThDKyVEMCVCNSVEMCVCQiVEMCVCQSVEMCVCOCslRDAlOUElRDAlQjAlRDAlQjclRDAlQjAlRDAlQkQlRDElOEM%2C_52aed114eb756b820e040bd37faa7f48&u=7136661495945664256&s=2cce67cc9c20028ad2eb5924bd1ebe98,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{}
captcha_Yandex_погода_москва.html,/checkcaptcha?key=25969379-567d42a4-a17d426a-a2a319db_2/1755898833/f2586f4713306ba09a74023c85b8bc2c_4868d18fb62c89401c2f3cda2b0f47f5&mt=062AA73638BED6061A20D69146249BAE42DF20F766737CD47A8A82A8F82E52F975EBFEDBF089E15C84F97926B093D7BD54876AE506E5615D23C559B107C3C1D5B1E41FDD6A55F711D4430CFA6C6A0D0B9583F1BDC1D68D9C8B549574F02385FD28971DE784E8C84F20A266C0ACE16EAD27FF061CEF59D1ECEE7B2FE0D929F71EF4C7458AC449CF728E4A029AEF8268917BA6947111F536FD62957637D31D0C98BC7084A86B663730C7BF7CDB83E5A9D297E86021C8A8795430846C37D341A0A1C131289DCCD28B329BFAFDF13F977978F2F2630619AF164DA9314BC0CE43680DFAB787379FFE324044B88C53E5182A0A58A7B7C7&retpath=aHR0cHM6Ly95YW5kZXgucnUvc2VhcmNoP3RleHQ9JUQwJUJGJUQwJUJFJUQwJUIzJUQwJUJFJUQwJUI0JUQwJUIwKyVEMCVCQyVEMCVCRSVEMSU4MSVEMCVCQSVEMCVCMiVEMCVCMA%2C%2C_94456b6d23d8cd96aa3e7fd58df50b34&u=7155911548023397115&s=452c46152184057c81a7174151c8bbd8,"{""rdata"": null, ""pdata"": ""eyJwb3dDYWxjVGltZSI6LTEsInBvd05vbmNlIjoiIiwicG93UHJlZml4IjoiIn0="", ""tdata"": null, ""picasso"": null}",,{Click the checkbox and then solve a CAPTCHA challenge to verify you're not a robot.: 1}
